Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Japan,Nishiwaki,70,Moderate,2,Good,22,Good,14,Good,70,Moderate
Russian Federation,Nizhneudinsk,28,Good,1,Good,20,Good,2,Good,28,Good
Russian Federation,Novozybkov,42,Good,1,Good,42,Good,0,Good,16,Good
Ecuador,Nueva Loja,10,Good,1,Good,5,Good,0,Good,10,Good
Nigeria,Numan,70,Moderate,2,Good,37,Good,0,Good,70,Moderate
Japan,Oga,65,Moderate,2,Good,31,Good,5,Good,65,Moderate
Netherlands,Oirschot,44,Good,1,Good,39,Good,1,Good,44,Good
United Kingdom of Great Britain and Northern Ireland,Maidstone,33,Good,0,Good,33,Good,0,Good,27,Good
India,Maksi,205,Very Unhealthy,2,Good,31,Good,3,Good,205,Very Unhealthy
United States of America,Manassas Park,42,Good,1,Good,42,Good,2,Good,40,Good
India,Mandi,136,Unhealthy for Sensitive Groups,3,Good,32,Good,6,Good,136,Unhealthy for Sensitive Groups
India,Manglaur,178,Unhealthy,7,Good,13,Good,19,Good,178,Unhealthy
Pakistan,Mansehra,176,Unhealthy,5,Good,29,Good,10,Good,176,Unhealthy
Ecuador,Manta,56,Moderate,1,Good,23,Good,0,Good,56,Moderate
Ecuador,Manta,56,Moderate,1,Good,23,Good,0,Good,56,Moderate
Philippines,Mapandan,97,Moderate,2,Good,27,Good,6,Good,97,Moderate
United States of America,Maple Grove,53,Moderate,1,Good,30,Good,2,Good,53,Moderate
Dominican Republic,Villa Altagracia,114,Unhealthy for Sensitive Groups,1,Good,29,Good,2,Good,114,Unhealthy for Sensitive Groups
Spain,Villarrobledo,40,Good,1,Good,40,Good,0,Good,12,Good
France,Vitrolles,47,Good,1,Good,47,Good,3,Good,41,Good
Russian Federation,Volodarsk,38,Good,1,Good,38,Good,0,Good,20,Good
Brazil,Votorantim,72,Moderate,1,Good,30,Good,1,Good,72,Moderate
Russian Federation,Vsevolozhsk,30,Good,1,Good,30,Good,1,Good,12,Good
Russian Federation,Vysokovsk,36,Good,1,Good,36,Good,0,Good,17,Good
United States of America,Walnut,111,Unhealthy for Sensitive Groups,3,Good,19,Good,24,Good,111,Unhealthy for Sensitive Groups
United States of America,Weirton,47,Good,1,Good,39,Good,2,Good,47,Good
Japan,Susaki,50,Good,1,Good,40,Good,1,Good,50,Good
Portugal,Lamego,25,Good,0,Good,25,Good,2,Good,15,Good
China,Langfang,137,Unhealthy for Sensitive Groups,4,Good,125,Unhealthy for Sensitive Groups,7,Good,137,Unhealthy for Sensitive Groups
Germany,Langwedel,67,Moderate,1,Good,36,Good,4,Good,67,Moderate
Italy,Latisana,72,Moderate,1,Good,40,Good,2,Good,72,Moderate
Germany,Lauchhammer,72,Moderate,1,Good,30,Good,4,Good,72,Moderate
Canada,Leamington,77,Moderate,2,Good,29,Good,13,Good,77,Moderate
Chile,Lebu,28,Good,0,Good,28,Good,0,Good,19,Good
Poland,Legionowo,34,Good,1,Good,34,Good,1,Good,27,Good
Brazil,Leticia,14,Good,1,Good,2,Good,0,Good,14,Good
Ukraine,Letychiv,48,Good,1,Good,33,Good,0,Good,48,Good
United States of America,Lewisburg,68,Moderate,2,Good,25,Good,9,Good,68,Moderate
United Kingdom of Great Britain and Northern Ireland,Leyland,35,Good,1,Good,35,Good,3,Good,18,Good
Brazil,Limeira,62,Moderate,2,Good,4,Good,4,Good,62,Moderate
Brazil,Limoeiro,36,Good,1,Good,9,Good,4,Good,36,Good
United States of America,Lincolnton,81,Moderate,3,Good,15,Good,21,Good,81,Moderate
France,Lisieux,61,Moderate,2,Good,18,Good,6,Good,61,Moderate
United States of America,Lockport,68,Moderate,2,Good,20,Good,15,Good,68,Moderate
United States of America,Lockport,68,Moderate,2,Good,20,Good,15,Good,68,Moderate
United States of America,Longmont,67,Moderate,2,Good,2,Good,12,Good,67,Moderate
United States of America,Longwood,59,Moderate,1,Good,11,Good,15,Good,59,Moderate
Russian Federation,Luga,35,Good,1,Good,35,Good,0,Good,15,Good
Poland,Kozienice,33,Good,1,Good,33,Good,1,Good,25,Good
Russian Federation,Krasnoslobodsk,39,Good,1,Good,39,Good,1,Good,9,Good
Russian Federation,Krasnoslobodsk,39,Good,1,Good,39,Good,1,Good,9,Good
Malaysia,Kuala Lumpur,76,Moderate,2,Good,41,Good,2,Good,76,Moderate
Russian Federation,Kukmor,54,Moderate,1,Good,37,Good,0,Good,54,Moderate
United States of America,Kuna,63,Moderate,1,Good,26,Good,5,Good,63,Moderate
Finland,Kurikka,34,Good,1,Good,34,Good,0,Good,15,Good
Thailand,Kut Chap,45,Good,1,Good,28,Good,0,Good,45,Good
Guatemala,La Esperanza,79,Moderate,3,Good,6,Good,8,Good,79,Moderate
Guatemala,La Esperanza,79,Moderate,3,Good,6,Good,8,Good,79,Moderate
Guatemala,La Esperanza,79,Moderate,3,Good,6,Good,8,Good,79,Moderate
United States of America,La Marque,75,Moderate,2,Good,22,Good,4,Good,75,Moderate
Ecuador,La Troncal,61,Moderate,2,Good,6,Good,6,Good,61,Moderate
Madagascar,Mahanoro,53,Moderate,2,Good,20,Good,0,Good,53,Moderate
Ukraine,Makariv,38,Good,1,Good,38,Good,1,Good,31,Good
Indonesia,Manado,30,Good,0,Good,16,Good,0,Good,30,Good
Brazil,Manhumirim,35,Good,1,Good,13,Good,1,Good,35,Good
Cameroon,Manjo,62,Moderate,3,Good,13,Good,1,Good,62,Moderate
United States of America,Mankato,59,Moderate,1,Good,36,Good,3,Good,59,Moderate
Philippines,Mansalay,24,Good,0,Good,24,Good,0,Good,22,Good
India,Manthani,155,Unhealthy,1,Good,51,Moderate,1,Good,155,Unhealthy
United Republic of Tanzania,Manyoni,19,Good,0,Good,19,Good,0,Good,16,Good
Trinidad and Tobago,Marabella,148,Unhealthy for Sensitive Groups,1,Good,21,Good,4,Good,148,Unhealthy for Sensitive Groups
Italy,Maranello,61,Moderate,1,Good,42,Good,1,Good,61,Moderate
South Africa,Margate,56,Moderate,1,Good,26,Good,1,Good,56,Moderate
South Africa,Margate,56,Moderate,1,Good,26,Good,1,Good,56,Moderate
South Africa,Margate,56,Moderate,1,Good,26,Good,1,Good,56,Moderate
Spain,Arrecife,45,Good,0,Good,45,Good,0,Good,22,Good
Eritrea,Asmara,88,Moderate,1,Good,29,Good,0,Good,88,Moderate
Netherlands,Asten,33,Good,1,Good,33,Good,2,Good,32,Good
Brazil,Astolfo Dutra,65,Moderate,2,Good,3,Good,5,Good,65,Moderate
United States of America,Austin,97,Moderate,1,Good,19,Good,2,Good,97,Moderate
United States of America,Austin,97,Moderate,1,Good,19,Good,2,Good,97,Moderate
United States of America,Avondale,45,Good,1,Good,21,Good,13,Good,45,Good
Russian Federation,Azov,40,Good,1,Good,40,Good,2,Good,23,Good
Germany,Backnang,50,Good,1,Good,39,Good,4,Good,50,Good
Germany,Bad Homburg,69,Moderate,1,Good,36,Good,3,Good,69,Moderate
Germany,Bad Nauheim,64,Moderate,1,Good,40,Good,2,Good,64,Moderate
Germany,Bad Wurzach,47,Good,1,Good,27,Good,6,Good,47,Good
United States of America,Altadena,125,Unhealthy for Sensitive Groups,4,Good,7,Good,35,Good,125,Unhealthy for Sensitive Groups
Germany,Altusried,42,Good,1,Good,27,Good,6,Good,42,Good
Germany,Alzey,62,Moderate,1,Good,35,Good,3,Good,62,Moderate
Brazil,Ananindeua,59,Moderate,1,Good,14,Good,1,Good,59,Moderate
Russian Federation,Anna,45,Good,1,Good,28,Good,2,Good,45,Good
Chile,Arica,25,Good,1,Good,24,Good,2,Good,25,Good
United States of America,Ypsilanti,56,Moderate,1,Good,35,Good,1,Good,56,Moderate
China,Yulin,122,Unhealthy for Sensitive Groups,5,Good,29,Good,12,Good,122,Unhealthy for Sensitive Groups
,Zanzibar,39,Good,1,Good,20,Good,0,Good,39,Good
Russian Federation,Zelenogradsk,36,Good,1,Good,36,Good,0,Good,23,Good
Russian Federation,Zhirnovsk,44,Good,1,Good,44,Good,0,Good,25,Good
Ethiopia,Debre Birhan,147,Unhealthy for Sensitive Groups,1,Good,25,Good,0,Good,147,Unhealthy for Sensitive Groups
United States of America,Dedham,47,Good,1,Good,28,Good,9,Good,47,Good
Germany,Delmenhorst,67,Moderate,1,Good,31,Good,5,Good,67,Moderate
Pakistan,Dera Ghazi Khan,174,Unhealthy,3,Good,150,Unhealthy,1,Good,174,Unhealthy
United States of America,Des Moines,59,Moderate,2,Good,18,Good,10,Good,59,Moderate
United States of America,Des Moines,59,Moderate,2,Good,18,Good,10,Good,59,Moderate
Thailand,Det Udom,54,Moderate,1,Good,29,Good,0,Good,54,Moderate
India,Dhone,35,Good,1,Good,35,Good,0,Good,24,Good
France,Dinan,51,Moderate,1,Good,21,Good,5,Good,51,Moderate
United States of America,Dix Hills,68,Moderate,2,Good,12,Good,27,Good,68,Moderate
Netherlands,Doetinchem,46,Good,1,Good,19,Good,8,Good,46,Good
France,Dole,55,Moderate,1,Good,30,Good,1,Good,55,Moderate
,Domoni,30,Good,0,Good,30,Good,0,Good,21,Good
Brazil,Umuarama,18,Good,0,Good,18,Good,1,Good,16,Good
Brazil,Utinga,15,Good,0,Good,15,Good,0,Good,12,Good
Russian Federation,Uzlovaya,48,Good,0,Good,31,Good,0,Good,48,Good
Sweden,Vallentuna,41,Good,0,Good,41,Good,0,Good,25,Good
Romania,Videle,41,Good,1,Good,41,Good,1,Good,40,Good
United Kingdom of Great Britain and Northern Ireland,Wellingborough,29,Good,0,Good,29,Good,1,Good,22,Good
United States of America,Wenatchee,29,Good,1,Good,29,Good,1,Good,11,Good
United States of America,West Orange,58,Moderate,1,Good,43,Good,6,Good,58,Moderate
United States of America,West Warwick,72,Moderate,1,Good,44,Good,5,Good,72,Moderate
United Kingdom of Great Britain and Northern Ireland,Whitley Bay,53,Moderate,0,Good,32,Good,0,Good,53,Moderate
United States of America,Woodmere,71,Moderate,2,Good,40,Good,10,Good,71,Moderate
United States of America,Woodmere,71,Moderate,2,Good,40,Good,10,Good,71,Moderate
China,Xichang,59,Moderate,1,Good,37,Good,0,Good,59,Moderate
Japan,Yaita,42,Good,1,Good,42,Good,1,Good,35,Good
Guatemala,Villa Canales,102,Unhealthy for Sensitive Groups,4,Good,5,Good,10,Good,102,Unhealthy for Sensitive Groups
Italy,Villabate,58,Moderate,1,Good,44,Good,0,Good,58,Moderate
Italy,Vinci,39,Good,1,Good,39,Good,2,Good,33,Good
Serbia,Vlasotince,50,Good,1,Good,33,Good,0,Good,50,Good
Italy,Volpiano,52,Moderate,1,Good,32,Good,4,Good,52,Moderate
Russian Federation,Vorkuta,55,Moderate,1,Good,28,Good,1,Good,55,Moderate
Germany,Weimar,33,Good,1,Good,33,Good,1,Good,32,Good
Australia,Townsville,23,Good,0,Good,21,Good,1,Good,23,Good
Italy,Tradate,35,Good,1,Good,35,Good,1,Good,15,Good
Thailand,Trat,28,Good,0,Good,17,Good,0,Good,28,Good
Austria,Traun,30,Good,1,Good,28,Good,1,Good,30,Good
Italy,Tricase,65,Moderate,1,Good,65,Moderate,0,Good,41,Good
United States of America,Tumwater,31,Good,1,Good,31,Good,3,Good,20,Good
India,Turuvekere,39,Good,0,Good,25,Good,0,Good,39,Good
India,Udalguri,76,Moderate,2,Good,42,Good,1,Good,76,Moderate
China,Yongzhou,105,Unhealthy for Sensitive Groups,4,Good,84,Moderate,5,Good,105,Unhealthy for Sensitive Groups
Russian Federation,Zainsk,28,Good,1,Good,28,Good,0,Good,17,Good
Russian Federation,Zapolyarnyy,33,Good,1,Good,33,Good,0,Good,9,Good
Poland,Zdzieszowice,39,Good,1,Good,29,Good,1,Good,39,Good
China,Zhoucun,123,Unhealthy for Sensitive Groups,2,Good,123,Unhealthy for Sensitive Groups,4,Good,94,Moderate
Germany,Zschopau,32,Good,0,Good,32,Good,1,Good,26,Good
Netherlands,Zutphen,32,Good,1,Good,32,Good,2,Good,32,Good
Ukraine,Zvenyhorodka,54,Moderate,1,Good,42,Good,0,Good,54,Moderate
Republic of Moldova,Soroca,36,Good,1,Good,36,Good,0,Good,23,Good
Russian Federation,Sosnogorsk,33,Good,1,Good,33,Good,0,Good,17,Good
United States of America,South Yarmouth,35,Good,1,Good,35,Good,2,Good,30,Good
United States of America,Southbury,81,Moderate,3,Good,5,Good,34,Good,81,Moderate
Russian Federation,Sovetskiy,28,Good,1,Good,28,Good,0,Good,3,Good
United States of America,Spanish Lake,55,Moderate,1,Good,40,Good,5,Good,55,Moderate
Germany,Stade,33,Good,0,Good,33,Good,1,Good,12,Good
Ukraine,Sudak,42,Good,1,Good,42,Good,0,Good,14,Good
Egypt,Suez,79,Moderate,1,Good,58,Moderate,2,Good,79,Moderate
Peru,Sullana,45,Good,1,Good,17,Good,1,Good,45,Good
United States of America,San Angelo,34,Good,1,Good,27,Good,0,Good,34,Good
Italy,San Cataldo,57,Moderate,1,Good,46,Good,0,Good,57,Moderate
Italy,San Giovanni Rotondo,48,Good,1,Good,48,Good,1,Good,25,Good
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
Philippines,San Pedro,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
Brazil,Santa Helena,15,Good,0,Good,14,Good,0,Good,15,Good
Brazil,Santa Helena,15,Good,0,Good,14,Good,0,Good,15,Good
Portugal,Santo Tirso,27,Good,1,Good,27,Good,3,Good,20,Good
India,Rudarpur,119,Unhealthy for Sensitive Groups,3,Good,78,Moderate,2,Good,119,Unhealthy for Sensitive Groups
Pakistan,Sahiwal,163,Unhealthy,3,Good,163,Unhealthy,1,Good,156,Unhealthy
Indonesia,Salatiga,83,Moderate,2,Good,49,Good,1,Good,83,Moderate
Belarus,Salihorsk,34,Good,1,Good,34,Good,0,Good,23,Good
Italy,Salsomaggiore Terme,59,Moderate,1,Good,40,Good,1,Good,59,Moderate
Botswana,Ramotswa,69,Moderate,2,Good,15,Good,1,Good,69,Moderate
Iran (Islamic Republic of),Rasht,58,Moderate,1,Good,45,Good,0,Good,58,Moderate
Iran (Islamic Republic of),Rasht,58,Moderate,1,Good,45,Good,0,Good,58,Moderate
Germany,Ratingen,58,Moderate,1,Good,30,Good,6,Good,58,Moderate
Switzerland,Regensdorf,54,Moderate,1,Good,36,Good,1,Good,54,Moderate
Germany,Regenstauf,56,Moderate,1,Good,38,Good,2,Good,56,Moderate
Canada,Regina,42,Good,1,Good,33,Good,1,Good,42,Good
Germany,Remagen,61,Moderate,1,Good,31,Good,4,Good,61,Moderate
Brazil,Resende,62,Moderate,1,Good,8,Good,4,Good,62,Moderate
Brazil,Resende,62,Moderate,1,Good,8,Good,4,Good,62,Moderate
United States of America,Richmond West,63,Moderate,1,Good,19,Good,10,Good,63,Moderate
United States of America,Ridgeland,67,Moderate,3,Good,6,Good,13,Good,67,Moderate
Germany,Rinteln,68,Moderate,1,Good,38,Good,5,Good,68,Moderate
United States of America,Rocky Mount,39,Good,1,Good,33,Good,5,Good,39,Good
United States of America,Rocky River,90,Moderate,2,Good,11,Good,24,Good,90,Moderate
Netherlands,Roermond,60,Moderate,1,Good,25,Good,7,Good,60,Moderate
Romania,Roman,51,Moderate,1,Good,39,Good,0,Good,51,Moderate
United States of America,Rossville,39,Good,1,Good,31,Good,8,Good,39,Good
Germany,Roth,59,Moderate,1,Good,37,Good,2,Good,59,Moderate
Germany,Sassenberg,68,Moderate,2,Good,23,Good,11,Good,68,Moderate
India,Sattenapalle,77,Moderate,1,Good,49,Good,0,Good,77,Moderate
Germany,Schmallenberg,75,Moderate,1,Good,36,Good,4,Good,75,Moderate
Russian Federation,Segezha,30,Good,1,Good,30,Good,0,Good,22,Good
Slovakia,Senec,82,Moderate,1,Good,35,Good,2,Good,82,Moderate
Indonesia,Sepatan,205,Very Unhealthy,5,Good,205,Very Unhealthy,4,Good,163,Unhealthy
Russian Federation,Serdobsk,55,Moderate,1,Good,35,Good,0,Good,55,Moderate
United States of America,Severna Park,36,Good,1,Good,33,Good,7,Good,36,Good
Italy,Sarno,54,Moderate,1,Good,47,Good,3,Good,54,Moderate
Romania,Satu Mare,71,Moderate,1,Good,38,Good,0,Good,71,Moderate
India,Sausar,175,Unhealthy,1,Good,35,Good,0,Good,175,Unhealthy
Germany,Schwandorf,55,Moderate,1,Good,39,Good,3,Good,55,Moderate
Germany,Schwarzenbek,33,Good,0,Good,33,Good,1,Good,13,Good
Brazil,Senador Pompeu,32,Good,1,Good,11,Good,1,Good,32,Good
Zambia,Senanga,125,Unhealthy for Sensitive Groups,2,Good,22,Good,2,Good,125,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,Sevenoaks,33,Good,0,Good,33,Good,1,Good,16,Good
France,Seynod,128,Unhealthy for Sensitive Groups,2,Good,26,Good,3,Good,128,Unhealthy for Sensitive Groups
Ghana,Shama,31,Good,1,Good,23,Good,0,Good,31,Good
Russian Federation,Abdulino,40,Good,1,Good,40,Good,0,Good,28,Good
United Arab Emirates,Abu Dhabi,170,Unhealthy,2,Good,170,Unhealthy,4,Good,150,Unhealthy
Mexico,Acayucan,103,Unhealthy for Sensitive Groups,3,Good,17,Good,4,Good,103,Unhealthy for Sensitive Groups
Nicaragua,Acoyapa,51,Moderate,1,Good,16,Good,0,Good,51,Moderate
United States of America,Addison,56,Moderate,1,Good,29,Good,6,Good,56,Moderate
United States of America,Addison,56,Moderate,1,Good,29,Good,6,Good,56,Moderate
United States of America,Agoura Hills,51,Moderate,1,Good,23,Good,11,Good,51,Moderate
Colombia,Aguachica,99,Moderate,4,Good,7,Good,3,Good,99,Moderate
United States of America,Alamo,106,Unhealthy for Sensitive Groups,2,Good,14,Good,4,Good,106,Unhealthy for Sensitive Groups
United States of America,Alamo,106,Unhealthy for Sensitive Groups,2,Good,14,Good,4,Good,106,Unhealthy for Sensitive Groups
United States of America,Albemarle,77,Moderate,2,Good,34,Good,6,Good,77,Moderate
Spain,Albolote,32,Good,1,Good,26,Good,2,Good,32,Good
Algeria,Algiers,154,Unhealthy,10,Good,33,Good,69,Moderate,154,Unhealthy
Nigeria,Asaba,89,Moderate,3,Good,18,Good,3,Good,89,Moderate
Italy,Assisi,59,Moderate,1,Good,44,Good,1,Good,59,Moderate
Germany,Bad Lauterberg,53,Moderate,1,Good,38,Good,3,Good,53,Moderate
Germany,Bad Schwartau,44,Good,1,Good,27,Good,4,Good,44,Good
Italy,Badia Polesine,75,Moderate,1,Good,41,Good,2,Good,75,Moderate
Cameroon,Bafoussam,58,Moderate,3,Good,16,Good,1,Good,58,Moderate
Canada,Amherstburg,83,Moderate,1,Good,42,Good,8,Good,83,Moderate
Switzerland,Amriswil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate
,Anacortes,97,Moderate,1,Good,25,Good,10,Good,97,Moderate
China,Ankang,179,Unhealthy,2,Good,46,Good,1,Good,179,Unhealthy
Pakistan,Arifwala,164,Unhealthy,3,Good,164,Unhealthy,1,Good,154,Unhealthy
United States of America,Alpine,163,Unhealthy,5,Good,4,Good,25,Good,163,Unhealthy
United States of America,Alpine,163,Unhealthy,5,Good,4,Good,25,Good,163,Unhealthy
United States of America,Apex,60,Moderate,2,Good,37,Good,7,Good,60,Moderate
United States of America,Arcata,38,Good,1,Good,22,Good,3,Good,38,Good
Italy,Arese,67,Moderate,1,Good,37,Good,4,Good,67,Moderate
Niger,Arlit,164,Unhealthy,1,Good,20,Good,0,Good,164,Unhealthy
Angola,Ondjiva,20,Good,0,Good,20,Good,0,Good,12,Good
Finland,Orimattila,35,Good,1,Good,35,Good,0,Good,16,Good
Italy,Orzinuovi,66,Moderate,1,Good,38,Good,2,Good,66,Moderate
Peru,Otuzco,36,Good,1,Good,5,Good,2,Good,36,Good
United Kingdom of Great Britain and Northern Ireland,Paignton,54,Moderate,1,Good,24,Good,6,Good,54,Moderate
Italy,Palagiano,44,Good,1,Good,44,Good,1,Good,22,Good
United States of America,Palo Alto,54,Moderate,1,Good,26,Good,11,Good,54,Moderate
India,Pandharpur,99,Moderate,1,Good,31,Good,1,Good,99,Moderate
Canada,Parksville,61,Moderate,1,Good,35,Good,1,Good,61,Moderate
United States of America,Parlier,57,Moderate,1,Good,33,Good,5,Good,57,Moderate
Brazil,Parnamirim,24,Good,0,Good,20,Good,1,Good,24,Good
Brazil,Parnamirim,24,Good,0,Good,20,Good,1,Good,24,Good
United States of America,Parole,34,Good,1,Good,34,Good,7,Good,34,Good
Italy,Patti,56,Moderate,1,Good,46,Good,0,Good,56,Moderate
Italy,Patti,56,Moderate,1,Good,46,Good,0,Good,56,Moderate
Guatemala,Patulul,103,Unhealthy for Sensitive Groups,4,Good,5,Good,12,Good,103,Unhealthy for Sensitive Groups
United States of America,Payson,57,Moderate,1,Good,30,Good,4,Good,57,Moderate
United States of America,Payson,57,Moderate,1,Good,30,Good,4,Good,57,Moderate
Brazil,Pedreira,56,Moderate,1,Good,6,Good,4,Good,56,Moderate
Spain,Balaguer,51,Moderate,1,Good,31,Good,1,Good,51,Moderate
Indonesia,Banjar,75,Moderate,1,Good,46,Good,0,Good,75,Moderate
,Banjul,151,Unhealthy,1,Good,25,Good,1,Good,151,Unhealthy
India,Bargarh,164,Unhealthy,2,Good,77,Moderate,0,Good,164,Unhealthy
Colombia,Barrancabermeja,50,Good,2,Good,8,Good,2,Good,50,Good
Ukraine,Basarabeasca,42,Good,1,Good,42,Good,0,Good,14,Good
United Kingdom of Great Britain and Northern Ireland,Batley,33,Good,1,Good,33,Good,3,Good,17,Good
Latvia,Bauska,38,Good,1,Good,38,Good,0,Good,32,Good
United States of America,Beecher,64,Moderate,1,Good,34,Good,6,Good,64,Moderate
United States of America,Berkley,85,Moderate,2,Good,18,Good,18,Good,85,Moderate
United States of America,Berkley,85,Moderate,2,Good,18,Good,18,Good,85,Moderate
India,Biaora,175,Unhealthy,1,Good,38,Good,0,Good,175,Unhealthy
United Kingdom of Great Britain and Northern Ireland,Bicester,31,Good,1,Good,31,Good,4,Good,24,Good
Côte d'Ivoire,Bingerville,56,Moderate,1,Good,21,Good,1,Good,56,Moderate
United States of America,Brooklyn Center,51,Moderate,1,Good,31,Good,6,Good,51,Moderate
Hungary,Budakeszi,72,Moderate,1,Good,42,Good,2,Good,72,Moderate
Colombia,Buenaventura,32,Good,1,Good,9,Good,1,Good,32,Good
Turkey,Burhaniye,61,Moderate,1,Good,39,Good,0,Good,61,Moderate
United Kingdom of Great Britain and Northern Ireland,Burntwood,33,Good,1,Good,33,Good,3,Good,20,Good
Mexico,Cabo San Lucas,61,Moderate,1,Good,39,Good,0,Good,61,Moderate
Cuba,Campechuela,77,Moderate,1,Good,24,Good,2,Good,77,Moderate
Canada,Canmore,46,Good,1,Good,23,Good,1,Good,46,Good
Italy,Carate Brianza,66,Moderate,1,Good,35,Good,4,Good,66,Moderate
Brazil,Caratinga,40,Good,1,Good,8,Good,2,Good,40,Good
Spain,Castelldefels,51,Moderate,1,Good,40,Good,4,Good,51,Moderate
Italy,Cave,71,Moderate,1,Good,45,Good,2,Good,71,Moderate
France,Cayenne,52,Moderate,0,Good,21,Good,0,Good,52,Moderate
Italy,Cazzago San Martino,69,Moderate,1,Good,33,Good,3,Good,69,Moderate
United States of America,Centralia,60,Moderate,2,Good,16,Good,15,Good,60,Moderate
United States of America,Centralia,60,Moderate,2,Good,16,Good,15,Good,60,Moderate
El Salvador,Chalchuapa,106,Unhealthy for Sensitive Groups,3,Good,2,Good,12,Good,106,Unhealthy for Sensitive Groups
India,Challapalle,62,Moderate,1,Good,45,Good,0,Good,62,Moderate
Russian Federation,Chaltyr,39,Good,1,Good,39,Good,2,Good,11,Good
Czechia,Blansko,75,Moderate,1,Good,37,Good,1,Good,75,Moderate
Germany,Blieskastel,69,Moderate,2,Good,25,Good,5,Good,69,Moderate
Indonesia,Bogor,170,Unhealthy,4,Good,170,Unhealthy,2,Good,152,Unhealthy
Brazil,Borborema,20,Good,1,Good,9,Good,1,Good,20,Good
Russian Federation,Borzya,56,Moderate,1,Good,45,Good,0,Good,56,Moderate
United States of America,Bowling Green,74,Moderate,2,Good,24,Good,11,Good,74,Moderate
United States of America,Bowling Green,74,Moderate,2,Good,24,Good,11,Good,74,Moderate
Germany,Bremen,66,Moderate,1,Good,25,Good,6,Good,66,Moderate
Germany,Bremerhaven,56,Moderate,1,Good,22,Good,6,Good,56,Moderate
Central African Republic,Bria,74,Moderate,2,Good,14,Good,0,Good,74,Moderate
Germany,Brilon,69,Moderate,1,Good,41,Good,3,Good,69,Moderate
India,Narasaraopet,65,Moderate,1,Good,48,Good,0,Good,65,Moderate
Pakistan,Naushahro Firoz,158,Unhealthy,1,Good,44,Good,0,Good,158,Unhealthy
Russian Federation,Navashino,36,Good,1,Good,35,Good,0,Good,36,Good
Japan,Nayoro,32,Good,1,Good,32,Good,0,Good,10,Good
New Zealand,Nelson,14,Good,0,Good,12,Good,1,Good,14,Good
New Zealand,Nelson,14,Good,0,Good,12,Good,1,Good,14,Good
New Zealand,Nelson,14,Good,0,Good,12,Good,1,Good,14,Good
Russian Federation,Nerekhta,47,Good,1,Good,24,Good,2,Good,47,Good
France,Nevers,51,Moderate,1,Good,30,Good,1,Good,51,Moderate
,New York,70,Moderate,2,Good,20,Good,18,Good,70,Moderate
United States of America,Newnan,73,Moderate,3,Good,18,Good,20,Good,73,Moderate
United Republic of Tanzania,Ngerengere,26,Good,0,Good,15,Good,0,Good,26,Good
Niger,Niamey,56,Moderate,2,Good,24,Good,1,Good,56,Moderate
South Africa,Nigel,174,Unhealthy,10,Good,13,Good,13,Good,174,Unhealthy
Japan,Niimi,35,Good,1,Good,35,Good,2,Good,26,Good
India,Nilanga,136,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,136,Unhealthy for Sensitive Groups
Russian Federation,Nizhniy Novgorod,48,Good,1,Good,29,Good,3,Good,48,Good
Russian Federation,Nogliki,22,Good,1,Good,22,Good,0,Good,14,Good
Thailand,Nonthaburi,63,Moderate,1,Good,25,Good,1,Good,63,Moderate
Philippines,Norala,30,Good,1,Good,17,Good,0,Good,30,Good
Germany,Nordstemmen,59,Moderate,1,Good,40,Good,4,Good,59,Moderate
United States of America,Norfolk,34,Good,1,Good,34,Good,8,Good,26,Good
United States of America,Norfolk,34,Good,1,Good,34,Good,8,Good,26,Good
United States of America,Norfolk,34,Good,1,Good,34,Good,8,Good,26,Good
United States of America,North Bellmore,68,Moderate,2,Good,17,Good,22,Good,68,Moderate
United States of America,North Valley Stream,72,Moderate,2,Good,18,Good,21,Good,72,Moderate
Serbia,Novi Pazar,71,Moderate,1,Good,43,Good,0,Good,71,Moderate
Serbia,Novi Pazar,71,Moderate,1,Good,43,Good,0,Good,71,Moderate
Russian Federation,Novoaleksandrovsk,33,Good,1,Good,33,Good,0,Good,22,Good
Uruguay,Nueva Helvecia,19,Good,0,Good,17,Good,2,Good,19,Good
United Kingdom of Great Britain and Northern Ireland,Nuneaton,33,Good,1,Good,33,Good,3,Good,20,Good
Japan,Obanazawa,55,Moderate,1,Good,45,Good,2,Good,55,Moderate
Russian Federation,Oktyabrsk,53,Moderate,1,Good,41,Good,0,Good,53,Moderate
